,Cum. Return %,Ann. Return %,Exp. Ann. Return %,Daily Win rate %,Max Drawdown %,Calmar Ratio,Volatility %,Sharpe Ratio,Sortino Ratio,Mean Correlation,Mean DD Correlation
3x Beefier V4.1.1xxx|2b6f…,29.67,182.76,13.87,61.9,14.65,12.47,49.63,2.35,3.42,0.2603308066,0.2923438219
Blatant Tech Rulersh|8f3d…,409.29,67178.56,125.68,69.35,8.23,8158.08,74.9,9.16,27.47,0.1263969294,0.0833520977
Flextiger-DefAI+eVTO|cbee…,39.06,273.91,17.92,57.14,42.32,6.47,105.2,1.76,3.01,0.2879054065,0.2724521762
Golden Rotation 2x,9.68,44.73,4.73,84.62,9.07,4.93,23.73,1.6800000000000002,2.16,0.0377669268,0.0028494666
"Group ""Stuff",-43.31,-89.67,-24.71,41.27,55.27,-1.62,84.97,-2.25,-3.08,0.35524615330000003,0.32964875520000003
Lose Money with SOXL|8377…,61.36,577.87,27.03,61.02,31.81,18.17,108.28,2.31,3.5300000000000002,0.4058300711,0.44448141960000004
Nuclear Energy with|6cc9…,-11.85,-39.61,-6.11,52.38,44.82,-0.88,81.07,-0.22,-0.30000000000000004,0.3988700962,0.4065324381
Pals Minor Spell of|c10f…,65.83,656.21,28.77,52.38,36.27,18.09,97.02,2.56,4.55,0.3423179577,0.3397640161
pepe go brrrrrr,-12.44,-41.22,-6.43,57.14,30.35,-1.3599999999999999,54.58,-0.7000000000000001,-0.88,0.32392728400000004,0.37793505180000003
Rain's Unified EM Le|0607…,45.33,346.13,20.55,63.49,4.85,71.29,28.28,5.44,13.55,0.1930964224,0.2171928025
Simons KMLM FULL BUI|0577…,-4.3,-16.11,-2.17,47.62,35.51,-0.45,59.07,0,-0.01,0.1063455672,0.3086197969
(A) Sisyphus V0.1 (3|1df9…,14.39,71.22,6.95,63.49,4.13,17.26,17.59,3.15,5.43,0.3386828457,0.338395549
BT 1Nov16-22Nov22 AR|0b5e…,37.58,258.25,17.29,61.9,7.16,36.08,41.97,3.26,5,0.3197678614,0.3170945941
Mean,49.2530769231,5338.6946153846,17.1823076923,59.5153846154,24.9569230769,641.4253846154,63.5607692308,2.1923076923,4.9115384615,0.2689603329,0.2869739989
