Signal_Source,Strategy,Parameters,Total_Return_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Final_Value,Num_Trades,Trades_Per_Year,Time_in_Market_Pct,Win_Rate_Pct,Meets_Drawdown_Constraint
TQQQ,macd,"fast=8, slow=20, signal=7",19989.67,-47.61,1.31,11049319.6,336,26.81,51.83,34.52,False
QQQ,macd,"fast=8, slow=26, signal=7",19376.43,-47.08,1.31,10712034.62,313,24.98,50.76,33.33,False
TQQQ,macd,"fast=8, slow=26, signal=7",18024.09,-54.47,1.28,9968250.5,308,24.58,52.64,30.52,False
QQQ,macd,"fast=8, slow=20, signal=7",17677.09,-48.62,1.29,9777401.78,342,27.29,50.44,35.67,False
QQQ,macd,"fast=8, slow=32, signal=7",17326.07,-53.05,1.28,9584341.06,305,24.34,51.44,30.92,False
TQQQ,macd,"fast=8, slow=20, signal=9",15391.75,-55.02,1.25,8520463.72,305,24.34,52.19,27.63,False
TQQQ,macd,"fast=8, slow=32, signal=7",14680.81,-57.91,1.24,8129444.86,304,24.26,53.25,29.61,False
QQQ,macd,"fast=8, slow=32, signal=9",14363.8,-51.31,1.25,7955087.58,277,22.1,51.96,29.71,False
TQQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.4",14308.11,-59.16,1.07,7924458.76,78,6.22,90.03,43.59,False
TQQQ,or,Default,14308.11,-59.16,1.07,7924458.76,78,6.22,90.03,43.59,False
QQQ,macd,"fast=12, slow=20, signal=7",13897.75,-54.44,1.24,7698764.2,283,22.58,50.57,27.66,False
QQQ,macd,"fast=8, slow=20, signal=9",13678.86,-53.73,1.23,7578372.53,305,24.34,50.37,29.61,False
QQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.4",13544.11,-57.16,1.05,7504258.15,62,4.95,92.42,41.94,False
QQQ,or,Default,13544.11,-57.16,1.05,7504258.15,62,4.95,92.42,41.94,False
QQQ,sma,period=150,12860.59,-51.79,1.1,7128325.36,58,4.63,83.36,44.83,False
QQQ,macd,"fast=8, slow=26, signal=9",12576.33,-57.26,1.22,6971980.26,277,22.1,50.86,28.99,False
TQQQ,macd,"fast=12, slow=20, signal=7",12329.07,-58.99,1.2,6835988.85,279,22.26,52.02,29.5,False
TQQQ,macd,"fast=8, slow=26, signal=9",12175.43,-57.77,1.2,6751487.91,283,22.58,52.74,29.08,False
TQQQ,macd,"fast=12, slow=32, signal=7",11767.71,-50.97,1.2,6527242.8,263,20.99,54.48,27.48,False
QQQ,macd,"fast=12, slow=32, signal=7",11490.71,-51.96,1.2,6374888.67,265,21.15,52.51,28.79,False
QQQ,macd,"fast=12, slow=26, signal=7",11387.8,-51.31,1.2,6318289.9,267,21.31,51.41,26.32,False
TQQQ,macd,"fast=8, slow=32, signal=9",11353.71,-52.78,1.19,6299541.76,283,22.58,53.8,29.08,False
QQQ,macd,"fast=16, slow=20, signal=7",11187.44,-51.31,1.2,6208089.72,263,20.99,51.28,29.01,False
TQQQ,macd,"fast=12, slow=26, signal=7",10533.23,-54.96,1.17,5848274.46,275,21.95,53.45,29.2,False
QQQ,sma,period=200,10395.39,-51.79,1.06,5772464.68,57,4.55,84.14,25.0,False
QQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.4",10395.39,-51.79,1.06,5772464.68,57,4.55,84.14,25.0,False
QQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.5",10395.39,-51.79,1.06,5772464.68,57,4.55,84.14,25.0,False
QQQ,macd,"fast=8, slow=20, signal=12",9915.95,-57.52,1.17,5508774.15,263,20.99,50.7,28.24,False
QQQ,macd,"fast=8, slow=26, signal=12",9789.15,-51.96,1.17,5439030.0,261,20.83,51.83,27.69,False
