Date,LQQ3_Price,TQQQ_Price,Signal,Cash,Shares,Portfolio_Value,Trade_Type,Daily_Return,BuyHold_Value
2012-12-13,299.7279968261719,1.0293601751327515,0.0,55000.0,0.0,55000.0,HOLD,,55000.0
2012-12-14,290.92498779296875,1.0001779794692993,0.0,55000.0,0.0,55000.0,HOLD,0.0,53384.65040986156
2012-12-17,302.8739929199219,1.0391539335250854,1.0,0.0,181.59367025792037,55000.0,BUY,0.0,55577.28936565308
2012-12-18,316.9289855957031,1.0873236656188965,1.0,0.0,181.59367025792037,57552.29770544331,HOLD,0.04640541282624189,58156.37642242972
2012-12-19,311.84698486328125,1.0717331171035767,1.0,0.0,181.59367025792037,56629.43854018938,HOLD,-0.016035140247174562,57223.83077022858
2012-12-20,312.71600341796875,1.072533130645752,1.0,0.0,181.59367025792037,56787.24680905732,HOLD,0.002786682561861209,57383.295421558876
2012-12-21,302.635986328125,1.0391539335250854,0.0,36271.474476237025,61.74184788769291,54956.77950945003,SELL,-0.03223377435011221,55533.61522547451
2012-12-24,300.31500244140625,1.030359148979187,0.0,36271.474476237025,61.74184788769291,54813.477675366456,HOLD,-0.002607536965642865,55107.715359191534
2012-12-27,291.81298828125,1.0003776550292969,0.0,36271.474476237025,61.74184788769291,54288.547610351074,HOLD,-0.009576660472526255,53547.598240470106
2012-12-28,283.0530090332031,0.9713961482048035,0.0,36271.474476237025,61.74184788769291,53747.69030411882,HOLD,-0.009962640925931354,51940.14460335793
2012-12-31,300.77099609375,1.0347570180892944,0.0,36271.474476237025,61.74184788769291,54841.63156608722,HOLD,0.020353270173631532,55191.39006140312
2013-01-02,329.7359924316406,1.1312971115112305,1.0,0.0,171.74341067964883,56629.983964048835,BUY,0.03260939448540201,60506.45844157814
2013-01-03,324.593994140625,1.114906668663025,1.0,0.0,171.74341067964883,55746.87963984089,HOLD,-0.01559428879175706,59562.90325487373
2013-01-04,321.8030090332031,1.1039135456085205,1.0,0.0,171.74341067964883,55267.54633833615,HOLD,-0.008598388010262248,59050.75830167061
2013-01-07,321.6400146484375,1.105112910270691,1.0,0.0,171.74341067964883,55239.55312677487,HOLD,-0.0005065036068349071,59020.848879604484
2013-01-08,319.6809997558594,1.0987167358398438,1.0,0.0,171.74341067964883,54903.10522755128,HOLD,-0.0060907063902461145,58661.37021817572
2013-01-09,322.8089904785156,1.1099098920822144,1.0,0.0,171.74341067964883,55440.317022834555,HOLD,0.009784725163663355,59235.35560348448
2013-01-10,328.6570129394531,1.129497766494751,1.0,0.0,171.74341067964883,56444.67634600716,HOLD,0.0181160458147982,60308.46601945306
2013-01-11,330.1000061035156,1.133695363998413,1.0,0.0,171.74341067964883,56692.50091359067,HOLD,0.0043905746941366175,60573.25484420027
2013-01-14,325.5090026855469,1.1191039085388184,1.0,0.0,171.74341067964883,55904.02632814679,HOLD,-0.013907916792128328,59730.807055998754
2013-01-15,320.9460144042969,1.1025147438049316,1.0,0.0,171.74341067964883,55120.36315783365,HOLD,-0.014018009467031578,58893.500037214326
2013-01-16,325.0840148925781,1.114906668663025,1.0,0.0,171.74341067964883,55831.03747508512,HOLD,0.012893135613357698,59652.821919939415
2013-01-17,329.49200439453125,1.1320959329605103,1.0,0.0,171.74341067964883,56588.08062639064,HOLD,0.013559539380642027,60461.68670792926
2013-01-18,328.06298828125,1.1256999969482422,1.0,0.0,171.74341067964883,56342.65652517954,HOLD,-0.00433702819559223,60199.46266792391
2013-01-22,329.0320129394531,1.1302971839904785,1.0,0.0,171.74341067964883,56509.08012501203,HOLD,0.0029537762344966634,60377.2784100819
2013-01-23,334.7550048828125,1.148686170578003,1.0,0.0,171.74341067964883,57491.966280656714,HOLD,0.017393419844568436,61427.44576254085
2013-01-24,320.68499755859375,1.1029140949249268,0.0,36349.85325477512,58.392759631080594,55075.53523450775,SELL,-0.042030760164868064,58845.60352215505
2013-01-25,325.32598876953125,1.1193042993545532,0.0,36349.85325477512,58.392759631080594,55346.535518737976,HOLD,0.004920520210585755,59697.22405578707
2013-01-28,327.29400634765625,1.127299189567566,0.0,36349.85325477512,58.392759631080594,55461.45349612717,HOLD,0.0020763355160737795,60058.354707387996
2013-01-29,327.7330017089844,1.127299189567566,0.0,36349.85325477512,58.392759631080594,55487.087646740365,HOLD,0.00046219759846333197,60138.91022815588
2013-01-30,325.9739990234375,1.121103286743164,0.0,36349.85325477512,58.392759631080594,55384.3746257328,HOLD,-0.0018511157345558749,59816.1337483825
2013-01-31,323.38800048828125,1.1139079332351685,0.0,36349.85325477512,58.392759631080594,55233.3710348631,HOLD,-0.002726465576078585,59341.60377140447
2013-02-01,334.885009765625,1.1504849195480347,0.0,36349.85325477512,58.392759631080594,55904.71313407134,HOLD,0.01215464648689446,61451.30162062018
2013-02-04,317.28399658203125,1.0919207334518433,0.0,36349.85325477512,58.392759631080594,54876.94140197826,HOLD,-0.018384348554445817,58221.52083487969
2013-02-05,331.3110046386719,1.1398913860321045,0.0,36349.85325477512,58.392759631080594,55696.01711177291,HOLD,0.014925680784481976,60795.472722205915
2013-02-06,328.1969909667969,1.1292974948883057,0.0,36349.85325477512,58.392759631080594,55514.181259943216,HOLD,-0.0032647909358541893,60224.05212163901
2013-02-07,328.7820129394531,1.1320959329605103,0.0,36349.85325477512,58.392759631080594,55548.34230737144,HOLD,0.0006153571331308783,60331.40348299601
2013-02-08,339.1960144042969,1.1664743423461914,1.0,0.0,165.55750128824155,56156.44459170578,BUY,0.010947262493801624,62242.36971448417
2013-02-11,338.87200927734375,1.1660754680633545,1.0,0.0,165.55750128824155,56102.80311248284,HOLD,-0.0009552150178478991,62182.91486818645
2013-02-12,334.4700012207031,1.152483344078064,1.0,0.0,165.55750128824155,55374.01765797471,HOLD,-0.012990178994210955,61375.14767366693
2013-02-13,338.52398681640625,1.1658750772476196,1.0,0.0,165.55750128824155,56045.18538345784,HOLD,0.01212062541007386,62119.05284810742
2013-02-14,337.6610107421875,1.1634763479232788,1.0,0.0,165.55750128824155,55902.31322093865,HOLD,-0.0025492316876404297,61960.69699018081
2013-02-15,335.2070007324219,1.153483271598816,1.0,0.0,165.55750128824155,55496.03345558552,HOLD,-0.007267673588880363,61510.386869116664
