Date,LQQ3_Price,Signal,Cash,Shares,Portfolio_Value,Trade_Type,Daily_Return,Cumulative_Return,BuyHold_Value,BuyHold_Return
2012-12-13,299.7279968261719,0.0,55000.0,0.0,55000.0,HOLD,,0.0,55000.0,0.0
2012-12-14,290.92498779296875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,53384.65040986156,-2.936999254797157
2012-12-17,302.8739929199219,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,55577.28936565308,1.049617028460137
2012-12-18,316.9289855957031,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,58156.37642242972,5.738866222599492
2012-12-19,311.84698486328125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,57223.83077022858,4.043328673142876
2012-12-20,312.71600341796875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,57383.295421558876,4.333264402834325
2012-12-21,302.635986328125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,55533.61522547451,0.9702095008627509
2012-12-24,300.31500244140625,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,55107.715359191534,0.19584610762097832
2012-12-27,291.81298828125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,53547.598240470106,-2.640730471872532
2012-12-28,283.0530090332031,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,51940.14460335793,-5.563373448440134
2012-12-31,300.77099609375,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,55191.39006140312,0.34798192982385956
2013-01-02,329.7359924316406,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60506.45844157814,10.011742621051178
2013-01-03,324.593994140625,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59562.90325487373,8.296187736134053
2013-01-04,321.8030090332031,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59050.75830167061,7.365015093946559
2013-01-07,321.6400146484375,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59020.848879604484,7.310634326553611
2013-01-08,319.6809997558594,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,58661.37021817572,6.657036760319479
2013-01-09,322.8089904785156,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59235.35560348448,7.700646551789969
2013-01-10,328.6570129394531,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60308.46601945306,9.651756399005551
2013-01-11,330.1000061035156,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60573.25484420027,10.133190625818678
2013-01-14,325.5090026855469,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59730.807055998754,8.601467374543192
2013-01-15,320.9460144042969,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,58893.500037214326,7.079090976753322
2013-01-16,325.0840148925781,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59652.821919939415,8.459676218071666
2013-01-17,329.49200439453125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60461.68670792926,9.930339468962291
2013-01-18,328.06298828125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60199.46266792391,9.45356848713439
2013-01-22,329.0320129394531,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60377.2784100819,9.776869836512535
2013-01-23,334.7550048828125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,61427.44576254085,11.686265022801546
2013-01-24,320.68499755859375,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,58845.60352215505,6.992006403918261
2013-01-25,325.32598876953125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59697.22405578707,8.54040737415831
2013-01-28,327.29400634765625,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60058.354707387996,9.197008558887276
2013-01-29,327.7330017089844,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60138.91022815588,9.3434731421016
2013-01-30,325.9739990234375,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59816.1337483825,8.756606815240907
2013-01-31,323.38800048828125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59341.60377140447,7.893825038917224
2013-02-01,334.885009765625,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,61451.30162062018,11.72963931021851
2013-02-04,317.28399658203125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,58221.52083487969,5.857310608872157
2013-02-05,331.3110046386719,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60795.472722205915,10.53722313128349
2013-02-06,328.1969909667969,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60224.05212163901,9.498276584798205
2013-02-07,328.7820129394531,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60331.40348299601,9.693460878174553
2013-02-08,339.1960144042969,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,62242.36971448417,13.16794493542577
2013-02-11,338.87200927734375,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,62182.91486818645,13.059845214884458
2013-02-12,334.4700012207031,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,61375.14767366693,11.591177588485335
2013-02-13,338.52398681640625,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,62119.05284810742,12.943732451104406
2013-02-14,337.6610107421875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,61960.69699018081,12.655812709419667
2013-02-15,335.2070007324219,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,61510.386869116664,11.837067034757576
2013-02-19,342.20001220703125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,62793.602435150606,14.170186245728367
2013-02-20,326.3999938964844,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59894.30368334245,8.898733969713547
2013-02-21,316.2170104980469,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,58025.729199661924,5.5013258175671265
2013-02-22,325.1969909667969,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59673.552996608356,8.497369084742456
2013-02-25,312.1889953613281,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,57286.58959687062,4.157435630673856
2013-02-26,316.3550109863281,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,58051.0522490128,5.547367725477814
2013-02-27,326.2539978027344,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59867.513442720025,8.850024441309134
2013-02-28,325.27801513671875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,59688.420908157794,8.52440165119599
2013-03-01,328.52398681640625,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,60284.05576467189,9.607374117585255
