,Date,LQQ3_Price,Bullish_Count,Target_Allocation,Equity_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount
0,2012-12-13,299.7279968261719,0.0,0.33,0.33,36850.0,60.55490375337258,55000.0,BUY,60.55490375337258
1,2012-12-14,290.92498779296875,0.0,0.33,0.3234427410543417,36850.0,60.55490375337258,54466.934635254314,HOLD,0.0
2,2012-12-17,302.8739929199219,1.0,1.0,0.9999999999999999,7.275957614183426e-12,182.2226628261792,55190.50549066552,BUY,121.66775907280663
3,2012-12-18,316.9289855957031,1.0,1.0,0.9999999999999999,7.275957614183426e-12,182.2226628261792,57751.64368204882,HOLD,0.0
4,2012-12-19,311.84698486328125,1.0,1.0,0.9999999999999999,7.275957614183426e-12,182.2226628261792,56825.58797610232,HOLD,0.0
5,2012-12-20,312.71600341796875,1.0,1.0,0.9999999999999999,7.275957614183426e-12,182.2226628261792,56983.94285118283,HOLD,0.0
6,2012-12-21,302.635986328125,0.0,0.33,0.33,36948.58064814453,60.13347873263915,55147.13529573811,SELL,122.08918409354006
7,2012-12-24,300.31500244140625,0.0,0.33,0.32830003169391425,36948.58064814453,60.13347873263915,55007.566460547314,HOLD,0.0
8,2012-12-27,291.81298828125,0.0,0.33,0.3219984963359485,36948.58064814453,60.13347873263915,54496.310772862955,HOLD,0.0
9,2012-12-28,283.0530090332031,0.0,0.33,0.31538088396788067,36948.58064814453,60.13347873263915,53969.54274705217,HOLD,0.0
10,2012-12-31,300.77099609375,0.0,0.33,0.32863469768833065,36948.58064814453,60.13347873263915,55034.98694514274,HOLD,0.0
11,2013-01-02,329.7359924316406,1.0,1.0,1.0,0.0,172.188521240031,56776.752936418256,BUY,112.05504250739186
12,2013-01-03,324.593994140625,1.0,1.0,1.0,0.0,172.188521240031,55891.359854469505,HOLD,0.0
13,2013-01-04,321.8030090332031,1.0,1.0,1.0,0.0,172.188521240031,55410.784256019586,HOLD,0.0
14,2013-01-07,321.6400146484375,1.0,1.0,1.0,0.0,172.188521240031,55382.718493936365,HOLD,0.0
15,2013-01-08,319.6809997558594,1.0,1.0,1.0,0.0,172.188521240031,55045.39861649614,HOLD,0.0
16,2013-01-09,322.8089904785156,1.0,1.0,1.0,0.0,172.188521240031,55584.002713482856,HOLD,0.0
17,2013-01-10,328.6570129394531,1.0,1.0,1.0,0.0,172.188521240031,56590.96505321017,HOLD,0.0
18,2013-01-11,330.1000061035156,1.0,1.0,1.0,0.0,172.188521240031,56839.43191228957,HOLD,0.0
19,2013-01-14,325.5090026855469,1.0,1.0,1.0,0.0,172.188521240031,56048.9138227416,HOLD,0.0
20,2013-01-15,320.9460144042969,1.0,1.0,1.0,0.0,172.188521240031,55263.21961815757,HOLD,0.0
21,2013-01-16,325.0840148925781,1.0,1.0,1.0,0.0,172.188521240031,55975.735803125244,HOLD,0.0
22,2013-01-17,329.49200439453125,1.0,1.0,1.0,0.0,172.188521240031,56734.740997108136,HOLD,0.0
23,2013-01-18,328.06298828125,1.0,1.0,1.0,0.0,172.188521240031,56488.68082573406,HOLD,0.0
24,2013-01-22,329.0320129394531,1.0,1.0,1.0,0.0,172.188521240031,56655.53574867518,HOLD,0.0
25,2013-01-23,334.7550048828125,1.0,1.0,1.0,0.0,172.188521240031,57640.96926847084,HOLD,0.0
26,2013-01-24,320.68499755859375,0.0,0.33,0.32999999999999996,36996.24459402973,56.82221200921023,55218.275513477216,SELL,115.36630923082078
27,2013-01-25,325.32598876953125,0.0,0.33,0.33318457645158567,36996.24459402973,56.82221200921023,55481.98689999798,HOLD,0.0
28,2013-01-28,327.29400634765625,0.0,0.33,0.3345258775373087,36996.24459402973,56.82221200921023,55593.81401206006,HOLD,0.0
29,2013-01-29,327.7330017089844,0.0,0.33,0.3348243387832494,36996.24459402973,56.82221200921023,55618.758699552505,HOLD,0.0
30,2013-01-30,325.9739990234375,0.0,0.33,0.3336268240829122,36996.24459402973,56.82221200921023,55518.80827602959,HOLD,0.0
31,2013-01-31,323.38800048828125,0.0,0.33,0.3318584474918258,36996.24459402973,56.82221200921023,55371.86611900943,HOLD,0.0
32,2013-02-01,334.885009765625,0.0,0.33,0.33964936236991583,36996.24459402973,56.82221200921023,56025.15161763852,HOLD,0.0
33,2013-02-04,317.28399658203125,0.0,0.33,0.3276469049954391,36996.24459402973,56.82221200921023,55025.02311494345,HOLD,0.0
34,2013-02-05,331.3110046386719,0.0,0.33,0.3372469808320317,36996.24459402973,56.82221200921023,55822.06874059278,HOLD,0.0
35,2013-02-06,328.1969909667969,0.0,0.33,0.33513950183764685,36996.24459402973,56.82221200921023,55645.12359552992,HOLD,0.0
36,2013-02-07,328.7820129394531,0.0,0.33,0.33553645051988656,36996.24459402973,56.82221200921023,55678.36583809024,HOLD,0.0
37,2013-02-08,339.1960144042969,1.0,1.0,1.0,0.0,165.8926109023202,56270.11243718982,BUY,109.07039889310997
38,2013-02-11,338.87200927734375,1.0,1.0,1.0,0.0,165.8926109023202,56216.36238073383,HOLD,0.0
39,2013-02-12,334.4700012207031,1.0,1.0,1.0,0.0,165.8926109023202,55486.101771004665,HOLD,0.0
40,2013-02-13,338.52398681640625,1.0,1.0,1.0,0.0,165.8926109023202,56158.628026036255,HOLD,0.0
41,2013-02-14,337.6610107421875,1.0,1.0,1.0,0.0,165.8926109023202,56015.46667193787,HOLD,0.0
