,Date,LQQ3_Price,Bullish_Count,Target_Allocation,Actual_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount
0,2012-12-13,299.7279968261719,0.0,0.33,0.0,55000.0,0.0,55000.0,HOLD,0.0
1,2012-12-14,290.92498779296875,0.0,0.33,0.0,55000.0,0.0,55000.0,HOLD,0.0
2,2012-12-17,302.8739929199219,1.0,0.66,0.66,18700.0,119.85182237022744,55000.0,BUY,119.85182237022744
3,2012-12-18,316.9289855957031,1.0,0.66,0.670103916212235,18700.0,119.85182237022744,56684.51648559258,HOLD,0.0
4,2012-12-19,311.84698486328125,1.0,0.66,0.6665206100442332,18700.0,119.85182237022744,56075.42943652499,HOLD,0.0
5,2012-12-20,312.71600341796875,1.0,0.66,0.6671388601212889,18700.0,119.85182237022744,56179.58289397783,HOLD,0.0
6,2012-12-21,302.635986328125,0.0,0.33,0.33,36830.8878990788,59.94193485466652,54971.47447623702,SELL,59.90988751556092
7,2012-12-24,300.31500244140625,0.0,0.33,0.32830003169391425,36830.8878990788,59.94193485466652,54832.35021130059,HOLD,0.0
8,2012-12-27,291.81298828125,0.0,0.33,0.3219984963359485,36830.8878990788,59.94193485466652,54322.72303237906,HOLD,0.0
9,2012-12-28,283.0530090332031,0.0,0.33,0.3153808839678807,36830.8878990788,59.94193485466652,53797.6329269644,HOLD,0.0
10,2012-12-31,300.77099609375,0.0,0.33,0.3286346976883306,36830.8878990788,59.94193485466652,54859.68335310352,HOLD,0.0
11,2013-01-02,329.7359924316406,1.0,0.66,0.66,19242.606434062705,113.28243109625416,56595.901276655015,BUY,53.34049624158764
12,2013-01-03,324.593994140625,1.0,0.66,0.6564642508495202,19242.606434062705,113.28243109625416,56013.40320955598,HOLD,0.0
13,2013-01-04,321.8030090332031,1.0,0.66,0.6545141440704737,19242.606434062705,113.28243109625416,55697.233631433795,HOLD,0.0
14,2013-01-07,321.6400146484375,1.0,0.66,0.6543995727683055,19242.606434062705,113.28243109625416,55678.769231272505,HOLD,0.0
15,2013-01-08,319.6809997558594,1.0,0.66,0.6530165816447969,19242.606434062705,113.28243109625416,55456.847261687486,HOLD,0.0
16,2013-01-09,322.8089904785156,1.0,0.66,0.655219586362116,19242.606434062705,113.28243109625416,55811.19365519652,HOLD,0.0
17,2013-01-10,328.6570129394531,1.0,0.66,0.659264117217347,19242.606434062705,113.28243109625416,56473.671856677014,HOLD,0.0
18,2013-01-11,330.1000061035156,1.0,0.66,0.6602475471191761,19242.606434062705,113.28243109625416,56637.13763035729,HOLD,0.0
19,2013-01-14,325.5090026855469,1.0,0.66,0.6570987992539119,19242.606434062705,113.28243109625416,56117.05760199858,HOLD,0.0
