combination_id,matches_correct,current_price_live,rsi_live,moving_average_live,moving_average_return_live,cumulative_return_live,exponential_moving_average_price_live,max_drawdown_live,stdev_return_live,allocation,error
0,False,False,False,False,False,False,False,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
1,False,False,False,False,False,False,False,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
2,False,False,False,False,False,False,False,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
3,False,False,False,False,False,False,False,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
4,False,False,False,False,False,False,True,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
5,False,False,False,False,False,False,True,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
6,False,False,False,False,False,False,True,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
7,False,False,False,False,False,False,True,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
8,False,False,False,False,False,True,False,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
9,False,False,False,False,False,True,False,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
10,False,False,False,False,False,True,False,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
11,False,False,False,False,False,True,False,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
12,False,False,False,False,False,True,True,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
13,False,False,False,False,False,True,True,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
14,False,False,False,False,False,True,True,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
15,False,False,False,False,False,True,True,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
16,False,False,False,False,True,False,False,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
17,False,False,False,False,True,False,False,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
18,False,False,False,False,True,False,False,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
19,False,False,False,False,True,False,False,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
20,False,False,False,False,True,False,True,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
21,False,False,False,False,True,False,True,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
22,False,False,False,False,True,False,True,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
23,False,False,False,False,True,False,True,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
24,False,False,False,False,True,True,False,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
25,False,False,False,False,True,True,False,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
26,False,False,False,False,True,True,False,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
27,False,False,False,False,True,True,False,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
28,False,False,False,False,True,True,True,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
29,False,False,False,False,True,True,True,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
30,False,False,False,False,True,True,True,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
31,False,False,False,False,True,True,True,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
32,False,False,False,True,False,False,False,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
33,False,False,False,True,False,False,False,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
34,False,False,False,True,False,False,False,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
35,False,False,False,True,False,False,False,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
36,False,False,False,True,False,False,True,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
37,False,False,False,True,False,False,True,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
