date,portfolio_value,cash,signal,action
2024-07-01,93696.35993708127,-1935.264410093645,NUCLEAR_PORTFOLIO,BUY
2024-07-02,93942.00681502366,-254.14766853642448,NUCLEAR_PORTFOLIO,BUY
2024-07-03,96671.07122278237,-2735.059512120163,NUCLEAR_PORTFOLIO,BUY
2024-07-05,92240.4697467862,4919.461391109968,NUCLEAR_PORTFOLIO,BUY
2024-07-08,93379.590974833,3639.9000209539045,UVXY_BTAL_PORTFOLIO,BUY
2024-07-09,92013.02223762809,-68.50656731357958,NUCLEAR_PORTFOLIO,BUY
2024-07-10,92083.03159621876,-2252.4286636721736,UVXY,BUY
2024-07-11,92477.14452758373,-475.3993165950176,UVXY,BUY
2024-07-12,89860.70103791589,2548.4568217163423,UVXY,BUY
2024-07-15,92437.38280487625,-2388.0603202142556,UVXY,BUY
2024-07-16,93421.39198016764,-1024.4968926414365,UVXY,BUY
2024-07-17,98172.32853319496,-4883.053535309658,UVXY,BUY
2024-07-18,102744.32653756464,-4603.6360088779575,UVXY,BUY
2024-07-19,109613.4672244731,-6832.975982004375,UVXY,BUY
2024-07-22,107076.83286690028,1911.9011963625235,TQQQ,BUY
2024-07-23,108746.45174938391,209.6328418975172,NUCLEAR_PORTFOLIO,BUY
2024-07-24,102695.4002828261,6298.938149259452,NUCLEAR_PORTFOLIO,BUY
2024-07-25,98886.39627099708,2345.9860042723594,TQQQ,BUY
2024-07-26,101646.76575978198,-2909.31533177896,TQQQ,BUY
2024-07-29,102282.36841114979,-571.9795436985087,TQQQ,BUY
2024-07-30,98334.04308521021,4247.72686174566,TQQQ,BUY
2024-07-31,106798.72705604814,-9078.745341444486,TQQQ,BUY
2024-08-01,98755.31576063181,8241.02134834422,NUCLEAR_PORTFOLIO,BUY
2024-08-02,96084.93595461556,2929.445263669155,NUCLEAR_PORTFOLIO,BUY
2024-08-05,87592.38182328074,1579.2766480154423,NUCLEAR_PORTFOLIO,BUY
2024-08-06,90148.53842376613,-1055.157394528418,TQQQ,BUY
2024-08-07,87523.19762660938,3120.5614774147607,TQQQ,BUY
2024-08-08,95766.3421002973,-8205.688269711965,TQQQ,BUY
2024-08-09,95697.56728861693,-2346.477901416125,NUCLEAR_PORTFOLIO,BUY
2024-08-12,95407.22581008234,945.4413430221084,NUCLEAR_PORTFOLIO,BUY
2024-08-13,96725.81619246962,-1319.3307450983234,NUCLEAR_PORTFOLIO,BUY
2024-08-14,95828.05724301515,958.841906582561,NUCLEAR_PORTFOLIO,BUY
2024-08-15,96769.48109596205,-989.5906281982375,NUCLEAR_PORTFOLIO,BUY
2024-08-16,96615.72689815308,148.55734426334558,NUCLEAR_PORTFOLIO,BUY
2024-08-19,97528.00192047172,-897.8174316884895,NUCLEAR_PORTFOLIO,BUY
2024-08-20,101917.48589544106,-1024.8021268001394,UVXY,BUY
2024-08-21,103669.9943295984,-1733.978109810032,UVXY,BUY
2024-08-22,111264.48980333313,-7128.940149403626,UVXY,BUY
2024-08-23,101599.29725645574,9804.151559091584,UVXY,BUY
2024-08-26,101464.13374763292,287.21988457149746,UVXY,BUY
2024-08-27,98461.01059873101,3203.7103476945867,UVXY,BUY
2024-08-28,107304.0769303612,-8032.728469920694,UVXY,BUY
2024-08-29,101613.48395602999,5082.598022384485,UVXY,BUY
2024-08-30,97610.46435798911,4012.346304815909,UVXY,BUY
2024-09-03,133738.53652718023,-28764.36003376133,UVXY,BUY
2024-09-04,141513.13195750816,3275.013864237262,TQQQ,BUY
2024-09-05,132502.62946985662,478.03183386067394,UVXY,BUY
2024-09-06,117554.97685015993,-18096.65594502719,TQQQ,BUY
2024-09-09,122457.36670353406,-4704.471925622298,TQQQ,BUY
2024-09-10,125855.96732202111,-3407.926430814682,TQQQ,BUY
2024-09-11,128789.19512288972,-7157.963736948048,NUCLEAR_PORTFOLIO,BUY
2024-09-12,130472.34385518628,-1734.7395710170201,NUCLEAR_PORTFOLIO,BUY
2024-09-13,133098.98638621034,-2602.2417340992147,NUCLEAR_PORTFOLIO,BUY
2024-09-16,133402.261297262,-294.0162061543874,NUCLEAR_PORTFOLIO,BUY
2024-09-17,131719.00578294374,1700.8980026012248,NUCLEAR_PORTFOLIO,BUY
2024-09-18,130394.42786842962,1351.165277073223,NUCLEAR_PORTFOLIO,BUY
2024-09-19,131303.25124212264,-923.6299896593,NUCLEAR_PORTFOLIO,BUY
2024-09-20,137431.1218616892,-6105.352121008623,NUCLEAR_PORTFOLIO,BUY
2024-09-23,140401.2700130255,357.7898926649941,UVXY,BUY
2024-09-24,140524.17618462787,-114.64080297134194,UVXY,BUY
2024-09-25,143224.53854930037,-2702.6951450655934,UVXY,BUY
2024-09-26,143316.13714726456,-148.56706897191043,UVXY,BUY
2024-09-27,154047.84627553372,-10075.183908839945,UVXY,BUY
