todo_id,file_path,line_no,detected_phase,inferred_phase,short_text,category,target_type(s),blocking_dep,proposed_fix_summary
T001,the_alchemiser/application/types.py,5,,8,)  PYDANTIC-MIGRATION): Evaluate converting MultiStrategyExecutionResult to Pyda,services,ExecutionResult,phase 7,Introduce ExecutionResult and refactor
T002,the_alchemiser/application/execution/smart_execution.py,341,5,5,)  Phase 5 - Migrate to AlpacaOrderObject,services,,,Introduce typed model and refactor
T003,the_alchemiser/application/portfolio/portfolio_pnl_utils.py,14,12,12,Phase 12 - Types available for future migration to structured performance data,services,,phase 11,Introduce typed model and refactor
T004,the_alchemiser/application/portfolio/portfolio_pnl_utils.py,76,12,12,)  Phase 12 - Consider migrating to OrderDetails type,services,OrderDetails,phase 11,Introduce OrderDetails and refactor
T005,the_alchemiser/application/portfolio/portfolio_pnl_utils.py,79,12,12,)  Phase 12 - Consider migrating to OrderDetails type,services,OrderDetails,phase 11,Introduce OrderDetails and refactor
T009,TODO_COMMENTS.md,12,,8,## Structured Type Migration (Phase-based) (80 TODOs),services,,phase 7,Introduce typed model and refactor
T010,TODO_COMMENTS.md,13,,8,Roll out well-defined types across interfaces and services. Most TODOs reference,services,,phase 7,Introduce typed model and refactor
T012,TODO_COMMENTS.md,23,,8,## Return Type Alignment (9 TODOs),services,,phase 7,Introduce typed model and refactor
T015,TODO_COMMENTS.md,39,,8,- Updated CLI TODO to reference `the_alchemiser.domain.types.AccountInfo` instea,services,AccountInfo,phase 7,Introduce AccountInfo and refactor
T019,the_alchemiser/application/orders/limit_order_handler.py,114,7,7,) -> tuple[Any; ...]:  Phase 7 - Migrate to LimitOrderResult,services,,phase 6,Introduce typed model and refactor
T020,the_alchemiser/application/reporting/reporting.py,12,10,10,engine: Any;  Phase 10 - Add proper TradingEngine type when available,services,,phase 9,Introduce typed model and refactor
T021,the_alchemiser/application/reporting/reporting.py,17,10,10,];  Phase 10 - OrderDetails has different structure than expected,services,OrderDetails,phase 9,Introduce OrderDetails and refactor
T022,the_alchemiser/application/reporting/reporting.py,20,10,10,) -> dict[str; Any]:  Phase 10 - ReportingData structure needs alignment,services,,phase 9,Introduce typed model and refactor
T023,the_alchemiser/application/reporting/reporting.py,63,10,10,engine: Any; execution_result: Any  Phase 10 - Add proper types when available,services,,phase 9,Introduce typed model and refactor
T024,the_alchemiser/application/tracking/integration.py,22,,8,Add these imports once data structures match:,services,,phase 7,Introduce typed model and refactor
T025,the_alchemiser/application/tracking/integration.py,153,,8,) -> dict[str; Any]:  Change to StrategyPnLSummary once data structure matches,services,,phase 7,Introduce typed model and refactor
T026,the_alchemiser/application/tracking/integration.py,160,15,15,order: Any;  Phase 15 - Use AlpacaOrderProtocol when ready,services,,phase 14,Introduce typed model and refactor
T027,the_alchemiser/application/tracking/integration.py,161,15,15,) -> dict[str; Any]:  Phase 15 - Return OrderDetails when structure matches,services,OrderDetails,phase 14,Introduce OrderDetails and refactor
T028,the_alchemiser/application/tracking/integration.py,198,15,15,) -> None:  Phase 15 - Use AlpacaOrderProtocol when ready,services,,phase 14,Introduce typed model and refactor
T029,the_alchemiser/application/tracking/integration.py,232,15,15,) -> None:  Phase 15 - Use TradingEngine type when ready,services,,phase 14,Introduce typed model and refactor
T030,the_alchemiser/application/tracking/strategy_order_tracker.py,32,,8,Add these imports once data structures match:,services,,phase 7,Introduce typed model and refactor
T034,the_alchemiser/application/tracking/strategy_order_tracker.py,690,,8,) -> None:  Change to OrderHistoryData once data structure matches,services,,phase 7,Introduce typed model and refactor
T035,the_alchemiser/application/tracking/strategy_order_tracker.py,742,,8,) -> dict[str; Any]:  Change to EmailSummary once data structure matches,services,,phase 7,Introduce typed model and refactor
T036,the_alchemiser/application/tracking/strategy_order_tracker.py,747,,8,summary: dict[str; Any] = {  Change to EmailSummary once data structure matches,services,,phase 7,Introduce typed model and refactor
T037,pyproject.toml,185,15,15,# Third-party library ignores - TODO: Phase 15 - Add proper type stubs,services,,phase 14,Introduce typed model and refactor
T038,the_alchemiser/application/trading/trading_engine.py,446,,8,) -> dict[str; Any]:  Change to AccountInfo once data structure matches,services,AccountInfo,phase 7,Introduce AccountInfo and refactor
T040,the_alchemiser/application/trading/trading_engine.py,1007,,8,account_info: dict[str; Any];  Change to AccountInfo once structure matches,services,AccountInfo,phase 7,Introduce AccountInfo and refactor
T041,the_alchemiser/application/trading/trading_engine.py,1008,,8,current_positions: dict[str; Any];  Change to PositionsDict once structure match,services,,phase 7,Introduce typed model and refactor
T042,the_alchemiser/application/trading/trading_engine.py,1009,,8,) -> dict[str; Any]:  Change to ExecutionResult once structure matches,services,ExecutionResult,phase 7,Introduce ExecutionResult and refactor
T043,the_alchemiser/interface/cli/cli_formatter.py,11,13,13,Phase 13 - Replace dict[Any; Any] with proper CLISignalData,cli,,phase 12,Introduce typed model and refactor
T044,the_alchemiser/interface/cli/cli_formatter.py,12,13,13,Phase 13 - Replace dict[str; Any] with AccountInfo from the_alchemiser.domain.ty,cli,AccountInfo,phase 12,Introduce AccountInfo and refactor
T045,the_alchemiser/interface/cli/cli_formatter.py,13,13,13,Phase 13 - Replace dict[str; float] with CLIPortfolioData,cli,,phase 12,Introduce typed model and refactor
T046,the_alchemiser/interface/cli/cli_formatter.py,14,13,13,Phase 13 - Replace list[dict[str; Any]] with list[CLIOrderDisplay],cli,,phase 12,Introduce typed model and refactor
T047,the_alchemiser/interface/cli/cli_formatter.py,21,13,13,console: Console | None = None;  Phase 13 - CLISignalData,cli,,phase 12,Introduce typed model and refactor
T048,the_alchemiser/interface/cli/cli_formatter.py,130,13,13,console: Console | None = None;  Phase 13 - CLISignalData,cli,,phase 12,Introduce typed model and refactor
T049,the_alchemiser/interface/cli/cli_formatter.py,147,13,13,panels: list[Panel] = []  Phase 13 - Use structured type,cli,,phase 12,Introduce typed model and refactor
T050,the_alchemiser/interface/cli/cli_formatter.py,190,13,13,console: Console | None = None;  Phase 13 - Use CLIPortfolioData list,cli,,phase 12,Introduce typed model and refactor
T051,the_alchemiser/interface/cli/cli_formatter.py,216,13,13,console: Console | None = None;  Phase 13 - list[CLIOrderDisplay],cli,,phase 12,Introduce typed model and refactor
T052,the_alchemiser/interface/cli/cli_formatter.py,226,13,13,Phase 13 - Use proper typing for buy/sell orders,cli,,phase 12,Introduce typed model and refactor
T053,the_alchemiser/interface/cli/cli_formatter.py,227,13,13,buy_orders: list[dict[str; Any]] = []  Phase 13 - list[CLIOrderDisplay],cli,,phase 12,Introduce typed model and refactor
