Strategy,RSI,Current-Price,Moving-Avg-Price,Exponential-Moving-Avg-Price,Moving-Avg-Return,Cumulative-Return,Stdev-Return,Stdev-Price,Max-Drawdown,PPO,PPO-Signal
defence,1,0,0,0,0,0,0,0,0,0,0
fomo_nomo,1,1,1,0,1,1,1,0,0,0,0
ftl_starburst,1,0,0,0,1,1,1,0,1,0,0
gold,1,0,1,0,0,0,1,0,0,0,0
gold_and_miners,1,0,0,0,0,1,0,0,0,0,0
gold_currency,1,0,0,0,0,1,0,0,0,0,0
growth_blend,1,1,1,0,1,1,0,0,0,0,0
interstellar,1,1,1,0,1,0,0,0,0,0,0
kmlm_switcher,1,0,0,0,0,0,1,0,0,0,0
pals_spell,1,1,1,0,1,1,1,0,0,0,0
rains_concise_em,1,1,1,0,0,0,0,0,0,0,0
rains_em_dancer,1,1,1,0,0,1,0,0,0,0,0
simons_full_kmlm,1,0,0,0,0,0,0,0,0,0,0
sisyphus_lowvol,1,1,1,0,1,1,0,0,0,0,0
soxl_growth,1,0,0,0,0,1,1,0,1,0,0
vox_the_best,1,1,1,0,0,1,0,0,0,0,0
what_have_i_done,1,1,1,1,1,0,0,0,0,0,0
ftlt_holy_grail,1,1,1,0,0,0,0,0,0,0,0
ftlt_tqqq_ftlt,1,1,1,0,0,0,0,0,0,0,0
ftlt_tqqq_ftlt_1,1,1,1,0,1,1,0,0,0,0,0
ftlt_tqqq_ftlt_2,1,0,0,0,0,0,0,0,0,0,0
