file,rationale
the_alchemiser/main_original_backup.py,production-unused
the_alchemiser/lambda_handler.py,production-unused
the_alchemiser/__init__.py,production-unused
the_alchemiser/application/order_validation_utils.py,production-unused
the_alchemiser/application/smart_pricing_handler.py,production-unused
the_alchemiser/application/smart_execution.py,production-unused
the_alchemiser/application/portfolio_pnl_utils.py,production-unused
the_alchemiser/application/progressive_order_utils.py,production-unused
the_alchemiser/application/limit_order_handler.py,production-unused
the_alchemiser/application/asset_order_handler.py,production-unused
the_alchemiser/application/spread_assessment.py,production-unused
the_alchemiser/application/order_validation.py,production-unused
the_alchemiser/application/__init__.py,production-unused
the_alchemiser/application/alpaca_client.py,production-unused
the_alchemiser/container/__init__.py,production-unused
the_alchemiser/domain/__init__.py,production-unused
the_alchemiser/services/error_recovery.py,production-unused
the_alchemiser/services/position_manager.py,production-unused
the_alchemiser/services/price_fetching_utils.py,production-unused
the_alchemiser/services/error_monitoring.py,production-unused
the_alchemiser/services/price_service.py,production-unused
the_alchemiser/services/error_reporter.py,production-unused
the_alchemiser/services/__init__.py,production-unused
the_alchemiser/services/retry_decorator.py,production-unused
the_alchemiser/services/error_handling.py,production-unused
the_alchemiser/utils/__init__.py,production-unused
the_alchemiser/application/portfolio_rebalancer/__init__.py,production-unused
the_alchemiser/application/tracking/integration.py,production-unused
the_alchemiser/application/tracking/__init__.py,production-unused
the_alchemiser/infrastructure/websocket/websocket_order_monitor.py,production-unused
the_alchemiser/infrastructure/websocket/__init__.py,production-unused
the_alchemiser/infrastructure/websocket/websocket_connection_manager.py,production-unused
the_alchemiser/infrastructure/data_providers/unified_data_provider_facade.py,production-unused
the_alchemiser/infrastructure/data_providers/real_time_pricing.py,production-unused
the_alchemiser/infrastructure/data_providers/__init__.py,production-unused
the_alchemiser/infrastructure/logging/__init__.py,production-unused
the_alchemiser/infrastructure/validation/__init__.py,production-unused
the_alchemiser/infrastructure/alerts/__init__.py,production-unused
the_alchemiser/infrastructure/alerts/alert_service.py,production-unused
the_alchemiser/infrastructure/secrets/__init__.py,production-unused
the_alchemiser/infrastructure/s3/__init__.py,production-unused
the_alchemiser/infrastructure/config/__init__.py,production-unused
the_alchemiser/domain/registry/__init__.py,production-unused
the_alchemiser/domain/math/market_timing_utils.py,production-unused
the_alchemiser/domain/math/__init__.py,production-unused
the_alchemiser/domain/math/asset_info.py,production-unused
the_alchemiser/domain/models/__init__.py,production-unused
the_alchemiser/domain/strategies/__init__.py,production-unused
the_alchemiser/domain/strategies/klm_trading_bot.py,production-unused
the_alchemiser/domain/interfaces/__init__.py,production-unused
the_alchemiser/domain/strategies/klm_workers/__init__.py,production-unused
the_alchemiser/interface/email/client.py,production-unused
the_alchemiser/interface/email/__init__.py,production-unused
the_alchemiser/interface/email/config.py,production-unused
the_alchemiser/interface/email/email_utils.py,production-unused
the_alchemiser/interface/cli/signal_display_utils.py,production-unused
the_alchemiser/interface/cli/dashboard_utils.py,production-unused
the_alchemiser/interface/cli/trading_executor.py,production-unused
the_alchemiser/interface/cli/__init__.py,production-unused
the_alchemiser/interface/cli/signal_analyzer.py,production-unused
the_alchemiser/interface/email/templates/multi_strategy.py,production-unused
the_alchemiser/interface/email/templates/error_report.py,production-unused
the_alchemiser/interface/email/templates/base.py,production-unused
the_alchemiser/interface/email/templates/portfolio.py,production-unused
the_alchemiser/interface/email/templates/trading_report.py,production-unused
the_alchemiser/interface/email/templates/signals.py,production-unused
the_alchemiser/interface/email/templates/__init__.py,production-unused
the_alchemiser/interface/email/templates/performance.py,production-unused
the_alchemiser/services/enhanced/__init__.py,production-unused
