,Cum. Return %,Ann. Return %,Exp. Ann. Return %,Daily Win rate %,Max Drawdown %,Calmar Ratio,Volatility %,Sharpe Ratio,Sortino Ratio,Mean Correlation,Mean DD Correlation
Flextiger-DefAI+eVTO|cbee…,40.86,285.36,18.69,57.81,42.32,6.74,104.37,1.8,3.07,0.2185607094,0.2083012501
Golden Rotation 2x,9.7,43.96,4.74,84.91,9.07,4.85,23.55,1.67,2.14,0.0390647214,0.0100044817
Nuclear Energy with|6cc9…,-11.58,-38.41,-5.97,53.12,44.82,-0.86,80.43,-0.2,-0.28,0.349327439,0.30000599650000004
Pals Minor Spell of|c10f…,82.94,978.61,35.26,53.12,36.27,26.98,98.01,2.91,5.26,0.30298044150000003,0.310864216
Rain's Concise EM Le|0df0…,46.91,354.77,21.21,65.62,8.1,43.78,32.09,4.89,8.14,0.1320117226,0.0442114715
Rain's Unified EM Le|0607…,43.69,316.73,19.87,62.5,4.85,65.24,28.27,5.2,12.8,0.22297329070000002,0.1970701548
Simons KMLM FULL BUI|0577…,-3.05,-11.5,-1.54,48.44,35.51,-0.32,58.65,0.08,0.11,0.0372625978,0.23143863420000002
(A) Sisyphus V0.1 (3|1df9…,13.78,66.22,6.67,62.5,4.13,16.05,17.52,2.99,5.15,0.3384890271,0.314012163
BT 1Nov16-22Nov22 AR|0b5e…,40.48,281.28,18.52,62.5,7.16,39.3,41.75,3.42,5.27,0.3080998426,0.2597788072
2017 BT TQQQ For The|8d50…,29.47,176.49,13.79,57.81,14.32,12.33,62.2,1.9500000000000002,2.8,0.26620939190000004,0.2752341695
TQQQ For The Long Te|cd43…,3.23,13.34,1.6,56.25,22.97,0.58,53.63,0.5,0.67,0.3407088445,0.3740783707
Blatant Tech Rulersh|8f3d…,385.1,50072.96,120.25,68.25,8.23,6080.8,75.77,8.67,24.77,0.11494521740000001,0.029876019900000002
Mean,56.7941666667,4378.3175,21.0908333333,61.0691666667,19.8125,524.6225,56.3533333333,2.8233333333,5.825,0.2225527705,0.2129063113
